time_ms,ecg,ir,red,hr_ppg,spo2
clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
timestamp,ecg,ir,red,hr_ppg,spo2
58307,1267,551,707,0,3
58367,834,535,728,0,2
58406,975,540,749,0,3
58466,784,562,762,0,3
58506,1023,571,727,0,0
58566,1125,537,712,0,2
58606,670,529,721,0,0
58665,1379,545,747,0,0
58705,732,565,753,0,1
58765,1335,581,727,0,0
58805,317,546,716,0,3
58865,1462,530,718,0,5
58904,0,543,732,0,5
58964,1456,569,749,0,6
59004,37,563,737,0,5
59064,1506,546,713,0,6
59104,0,534,709,0,6
59163,1438,541,736,0,5
59203,0,556,745,0,7
59263,1473,577,746,0,7
59303,0,564,715,0,7
59363,1201,537,712,0,7
59403,0,535,727,0,5
59462,915,554,748,0,4
59502,0,569,759,0,3
59562,963,565,717,0,1
59602,0,544,706,0,1
59662,603,535,726,0,0
59701,0,545,748,0,1
59761,679,565,757,0,1
59801,0,575,719,0,0
59861,258,539,704,0,2
